student_id,attendance_rate,assignment_score,quiz_score,project_score,practice_hours,ai_tool_usage_frequency,previous_it_experience,final_result,risk_level
S0404,0.773,68.0,67.0,74.2,54.5,0,1,65.5,medium
S0405,0.883,90.5,94.1,65.4,45.0,5,1,78.7,low
S0406,0.788,60.3,58.5,56.0,50.1,3,0,61.9,medium
S0407,0.806,78.3,89.3,79.0,55.1,1,0,81.5,low
S0408,0.92,94.5,58.7,65.2,39.4,4,0,75.2,low
S0409,0.581,61.4,78.6,56.3,56.3,5,0,62.9,medium
S0410,0.664,39.1,53.1,59.5,50.7,1,0,48.8,high
S0411,0.642,53.6,83.3,49.5,26.5,4,0,64.4,medium
S0412,0.54,84.0,78.8,60.7,66.6,4,1,72.8,low
S0413,0.739,79.3,61.6,73.3,37.5,3,1,71.2,medium
S0414,0.91,80.2,71.5,69.7,20.2,3,1,77.1,low
S0415,0.786,72.4,71.7,55.7,29.3,1,0,63.4,medium
S0416,0.844,73.5,81.3,61.7,29.7,5,0,69.0,medium
S0417,0.951,87.8,74.8,80.4,45.8,5,0,81.6,low
S0418,0.979,85.2,76.5,73.9,40.9,5,0,78.5,low
S0419,0.812,93.3,87.2,76.5,39.9,4,1,85.9,low
S0420,0.982,76.9,74.9,78.7,54.3,0,0,83.4,low
S0421,0.831,77.6,53.1,67.3,50.1,2,0,68.4,medium
S0422,0.72,71.0,64.3,71.6,49.7,2,1,62.4,medium
S0423,0.749,62.5,71.3,72.7,51.1,5,0,69.7,medium
S0424,0.642,79.8,77.3,68.7,54.2,3,0,74.9,low
S0425,0.713,60.9,78.2,57.4,13.4,3,0,64.0,medium
S0426,0.777,80.7,82.0,73.4,39.5,0,1,78.9,low
S0427,0.916,78.9,81.2,70.7,12.3,4,1,76.1,low
S0428,1.0,68.7,83.6,66.8,45.5,2,0,71.5,medium
S0429,0.654,68.8,60.7,75.6,44.9,0,1,71.3,medium
S0430,0.867,99.2,83.0,88.8,60.7,5,1,89.3,low
S0431,0.695,79.8,64.4,78.4,62.8,1,1,72.5,low
S0432,0.877,51.0,53.1,70.6,48.0,0,0,68.4,medium
S0433,0.804,61.3,67.4,63.8,37.5,0,0,61.7,medium
S0434,0.6,87.5,72.0,76.0,52.3,2,1,79.3,low
S0435,0.931,66.3,76.7,76.9,37.1,0,0,68.6,medium
S0436,0.747,59.4,83.9,85.6,45.0,5,1,76.4,low
S0437,0.756,97.1,81.1,77.3,59.8,3,1,82.4,low
S0438,0.692,66.6,66.5,72.3,36.6,1,0,67.5,medium
S0439,0.741,73.5,73.7,76.2,57.1,0,1,77.8,low
S0440,0.871,77.3,86.0,86.7,55.2,2,1,84.7,low
S0441,0.797,82.8,63.3,74.5,30.7,0,1,76.3,low
S0442,0.859,68.9,78.7,76.5,59.6,5,0,69.1,medium
S0443,0.863,91.3,87.8,73.2,55.5,1,1,88.7,low
S0444,0.978,79.3,65.9,80.2,46.5,2,0,72.7,low
S0445,0.779,74.2,72.4,97.4,33.6,0,1,87.6,low
S0446,0.643,67.5,58.6,62.7,32.1,0,1,66.4,medium
S0447,0.948,78.3,73.8,80.7,36.9,1,1,79.9,low
S0448,0.78,75.5,51.6,61.0,53.1,0,0,61.2,medium
S0449,0.954,63.6,87.5,67.9,30.7,4,0,71.7,medium
S0450,0.866,57.0,86.0,87.1,51.6,5,0,74.9,low
S0451,0.804,72.7,73.0,60.5,26.4,5,0,68.0,medium
S0452,0.862,73.8,91.1,63.2,41.9,1,0,73.1,low
S0453,1.0,81.6,74.5,62.5,46.6,4,0,66.1,medium
S0454,1.0,85.7,100.0,74.8,81.7,3,0,88.3,low
S0455,0.828,69.0,69.5,56.8,24.3,0,1,64.0,medium
S0456,0.839,87.6,82.8,85.4,67.1,0,1,84.1,low
S0457,0.949,73.4,69.1,99.0,47.2,3,0,80.9,low
S0458,0.719,69.4,78.7,71.0,51.2,2,1,73.4,low
S0459,0.86,74.1,87.2,62.2,46.8,0,1,69.9,medium
S0460,0.817,91.5,69.9,79.4,51.7,5,0,74.5,low
S0461,0.858,53.1,91.7,63.9,42.7,4,0,68.3,medium
S0462,0.72,82.9,80.8,89.6,66.8,3,1,86.6,low
S0463,0.629,54.7,74.8,69.0,38.2,5,1,64.8,medium
S0464,0.571,72.1,62.3,67.5,62.0,5,1,64.4,medium
S0465,0.686,69.0,78.3,71.7,35.3,5,1,72.7,low
S0466,0.765,53.1,72.3,80.8,44.1,1,1,64.6,medium
S0467,0.785,70.1,58.9,64.2,28.9,5,0,61.8,medium
S0468,1.0,82.8,77.3,82.2,51.8,3,1,78.9,low
S0469,0.953,57.2,100.0,76.4,66.7,4,0,78.1,low
S0470,0.705,83.9,72.3,64.0,43.8,5,1,72.0,low
S0471,0.862,80.8,49.0,70.1,42.0,0,0,67.2,medium
S0472,0.771,77.5,54.2,46.5,28.3,2,0,65.1,medium
S0473,0.786,77.0,72.7,69.4,41.6,0,1,73.9,low
S0474,0.842,63.7,69.8,70.0,21.1,1,0,68.8,medium
S0475,0.894,91.3,84.6,80.7,31.3,2,1,84.3,low
S0476,0.779,86.1,77.4,74.6,48.4,5,0,77.5,low
S0477,0.948,100.0,81.0,88.1,64.8,5,1,83.9,low
S0478,0.683,69.4,82.9,89.4,87.1,2,1,83.7,low
S0479,0.821,66.9,54.4,73.2,36.2,1,0,67.6,medium
S0480,1.0,93.5,81.7,93.1,66.5,3,1,89.8,low
S0481,0.847,53.9,61.0,80.3,48.7,5,0,65.8,medium
S0482,0.992,91.5,72.5,93.6,42.7,5,1,89.8,low
S0483,0.831,100.0,90.6,73.9,51.5,1,1,82.5,low
S0484,0.89,85.6,87.5,67.1,45.9,1,1,76.9,low
S0485,0.813,84.0,81.0,73.1,46.7,4,0,75.5,low
S0486,0.8,66.3,64.9,69.4,38.9,1,0,72.5,low
S0487,0.726,68.3,78.4,78.9,24.0,1,1,77.7,low
S0488,0.872,67.3,42.4,55.1,21.8,0,0,49.6,high
S0489,0.718,56.7,75.2,56.7,54.8,2,0,56.8,high
S0490,0.9,60.2,71.9,73.9,40.8,2,0,68.2,medium
S0491,0.95,84.7,79.5,71.4,36.1,3,0,76.7,low
S0492,0.864,91.8,82.6,61.1,45.1,1,1,73.3,low
S0493,0.786,60.0,58.1,73.3,56.9,4,0,70.7,medium
S0494,0.874,81.6,54.0,55.3,47.7,4,0,65.1,medium
S0495,0.783,73.3,65.6,65.7,35.2,2,1,69.8,medium
S0496,0.932,77.3,80.6,86.0,63.4,1,0,79.5,low
S0497,0.6,78.1,81.7,89.9,68.7,3,1,85.9,low
S0498,0.78,78.9,52.5,58.0,52.4,4,0,62.8,medium
S0499,0.581,71.0,58.4,67.2,59.6,2,1,65.5,medium
S0500,0.641,86.3,63.5,72.6,63.6,1,1,77.0,low
S0501,0.984,90.8,83.4,100.0,62.0,3,1,87.7,low
S0502,0.927,79.4,56.8,68.7,54.2,2,0,74.2,low
S0503,0.734,57.0,48.3,61.1,54.0,2,0,57.0,high
S0504,0.64,93.0,61.5,85.3,52.8,2,1,85.9,low
S0505,0.464,54.0,50.4,46.0,28.5,1,0,46.7,high
S0506,0.755,75.6,54.3,74.9,55.5,4,0,67.2,medium
S0507,1.0,55.0,69.7,57.8,24.7,2,0,56.3,high
S0508,0.872,69.2,90.1,75.9,33.1,2,1,77.8,low
S0509,0.753,91.3,63.3,63.9,64.6,3,1,73.5,low
S0510,0.876,84.5,79.2,72.1,57.6,2,1,76.8,low
S0511,0.633,52.4,83.8,79.1,67.3,0,1,67.9,medium
S0512,0.784,78.6,63.2,67.7,40.9,5,0,66.6,medium
S0513,0.832,57.5,56.0,60.0,27.7,0,0,58.0,high
S0514,0.81,81.4,81.2,60.5,41.4,3,0,71.6,medium
S0515,0.915,79.5,76.7,78.4,46.5,1,1,76.3,low
S0516,0.861,70.2,81.4,70.9,46.2,1,0,77.9,low
S0517,0.9,93.1,86.5,90.2,62.0,0,1,90.0,low
S0518,0.737,67.1,72.0,52.5,39.6,5,1,66.3,medium
S0519,0.928,62.6,78.2,65.0,50.3,2,0,65.9,medium
S0520,1.0,70.1,75.9,73.5,30.2,2,0,73.6,low
S0521,0.704,74.0,78.0,64.9,51.8,4,0,71.2,medium
S0522,0.713,57.7,64.5,74.7,45.0,0,1,61.1,medium
S0523,0.98,66.2,83.3,85.2,33.8,3,1,82.4,low
S0524,0.797,84.0,75.1,73.0,41.5,2,1,77.0,low
S0525,0.988,68.5,83.0,69.8,42.2,3,0,74.9,low
S0526,0.767,58.6,50.2,60.3,40.9,0,0,54.9,high
S0527,0.995,63.1,93.9,92.1,71.6,5,0,81.9,low
S0528,0.836,59.9,72.3,60.1,43.5,1,0,60.5,medium
S0529,0.851,69.9,54.1,69.4,41.3,4,0,69.4,medium
S0530,1.0,80.6,85.8,72.9,13.5,4,0,79.7,low
S0531,0.777,65.6,100.0,87.4,31.6,2,1,84.0,low
S0532,0.707,76.7,72.1,57.4,41.1,0,0,71.9,medium
S0533,0.766,55.6,79.6,71.1,34.7,1,0,71.2,medium
S0534,0.874,78.1,85.9,96.0,65.7,4,1,89.5,low
S0535,0.632,77.7,42.4,61.8,42.5,5,0,58.3,high
S0536,0.896,88.7,64.5,84.7,64.3,5,1,78.9,low
S0537,0.755,68.3,76.9,70.9,45.9,1,1,68.5,medium
S0538,0.958,82.4,76.8,81.6,45.6,3,1,82.8,low
S0539,0.533,77.1,52.6,71.3,43.7,0,1,69.2,medium
S0540,0.726,80.2,64.8,67.6,45.1,4,0,67.1,medium
S0541,0.618,65.3,80.9,75.6,70.8,2,1,72.8,low
S0542,0.721,59.1,42.1,49.4,10.2,4,0,46.5,high
S0543,0.85,66.4,60.1,56.8,15.0,4,0,60.8,medium
S0544,0.798,58.2,86.2,87.4,36.9,5,0,71.9,medium
S0545,0.79,65.6,53.2,64.5,45.2,2,0,63.6,medium
S0546,0.801,78.3,88.7,71.3,55.4,2,1,79.2,low
S0547,0.844,81.9,64.6,83.3,52.1,3,0,83.9,low
S0548,0.699,71.6,66.0,62.0,39.2,0,0,68.9,medium
S0549,0.905,67.9,84.4,76.4,60.3,0,0,74.2,low
S0550,0.9,81.9,93.0,82.8,60.5,3,1,87.5,low
S0551,0.866,78.3,82.5,68.7,47.8,4,0,71.3,medium
S0552,0.887,77.5,69.6,81.9,59.4,3,1,74.4,low
S0553,0.856,87.3,94.8,69.0,49.1,4,1,82.8,low
S0554,1.0,71.2,61.9,71.3,36.6,1,0,62.4,medium
S0555,0.81,68.9,81.7,81.3,55.5,2,1,77.0,low
S0556,0.783,57.5,70.2,83.8,46.7,3,0,68.1,medium
S0557,0.73,78.2,69.5,64.5,45.0,2,0,70.8,medium
S0558,0.696,72.5,78.1,53.0,67.1,0,1,62.9,medium
S0559,0.671,79.6,53.1,62.4,8.2,0,1,67.3,medium
S0560,0.713,57.4,46.3,87.1,23.7,5,0,66.6,medium
S0561,0.812,67.9,75.5,72.8,27.2,3,0,75.9,low
S0562,0.86,90.9,69.2,59.7,39.6,1,0,73.0,low
S0563,0.826,55.3,79.7,71.2,41.2,1,0,65.5,medium
S0564,0.728,48.9,67.3,61.2,22.4,0,1,57.7,high
S0565,0.928,95.0,65.3,70.0,30.2,5,1,73.5,low
S0566,0.909,68.4,88.3,73.6,32.1,0,1,76.7,low
S0567,0.801,74.5,70.2,75.5,81.9,4,0,75.6,low
S0568,0.742,71.8,81.8,60.8,72.0,1,1,77.3,low
S0569,0.886,81.6,71.1,68.6,38.8,2,1,71.9,medium
S0570,0.843,66.8,96.0,76.4,39.5,1,1,77.1,low
S0571,0.646,57.7,49.0,55.8,27.8,4,0,53.0,high
S0572,0.812,64.7,56.2,63.8,16.4,0,0,62.8,medium
S0573,0.851,58.2,69.6,57.3,43.2,2,0,61.8,medium
S0574,0.712,52.5,46.4,65.9,30.0,1,0,56.2,high
S0575,0.843,63.5,71.0,56.3,43.7,1,0,65.8,medium
S0576,0.645,41.0,74.7,70.1,21.0,1,0,59.2,high
S0577,0.98,80.6,78.9,69.4,33.6,5,1,78.6,low
S0578,0.97,74.8,78.4,63.8,47.2,2,0,72.9,low
S0579,0.79,73.0,44.0,80.8,50.5,2,1,68.8,medium
S0580,0.864,67.4,69.6,85.1,51.3,2,0,74.1,low
S0581,0.531,65.2,61.7,68.3,25.2,5,1,72.8,low
S0582,0.681,57.3,54.1,69.0,57.8,2,0,58.7,high
S0583,0.785,70.8,76.9,64.0,33.0,2,0,70.5,medium
S0584,0.691,87.1,68.8,63.5,54.5,1,1,70.8,medium
S0585,0.906,75.1,77.6,75.3,44.8,1,1,81.1,low
S0586,1.0,73.9,64.5,58.2,24.4,0,0,67.9,medium
S0587,0.679,59.5,38.9,50.4,40.3,3,0,48.6,high
S0588,0.72,75.8,58.6,75.8,50.5,0,1,73.1,low
S0589,0.848,94.6,90.5,68.9,54.2,1,1,84.1,low
S0590,1.0,78.2,47.8,76.0,42.9,1,0,68.2,medium
S0591,0.673,46.5,55.1,52.5,68.0,1,0,53.3,high
S0592,0.85,77.6,68.2,75.7,60.1,4,0,75.6,low
S0593,1.0,97.2,100.0,80.5,41.2,3,1,91.8,low
S0594,0.622,62.0,73.5,76.9,56.3,5,0,70.7,medium
S0595,0.666,75.9,59.3,68.9,74.0,2,0,70.3,medium
S0596,0.769,76.3,98.8,94.3,74.4,5,1,89.8,low
S0597,0.758,44.9,50.8,52.9,26.6,0,0,49.8,high
S0598,0.918,71.3,82.0,70.4,31.1,3,0,71.7,medium
S0599,0.849,56.6,57.9,65.3,67.3,4,0,65.5,medium
S0600,0.607,54.7,70.0,53.4,29.1,3,0,54.9,high
